"abstractId","title","publisher","abstract","pmid","year","month"
"11","How reliable is the Alvarado score in acute appendicitis?","Ulusal travma ve acil cerrahi dergisi = Turkish journal of trauma & emergency surgery : TJTES","BACKGROUND: We aimed to investigate the reliability of the Alvarado score (AS) in determining acute appendicitis and the different parameters that affect the AS.<br />METHODS: Three hundred and thirteen patients suspected of acute appendicitis (AA) aged 18-70 years were included in this study. Patient data including AS calculated from emergency services and at discharge, follow-up, and operations were recorded. Patients were divided into three groups according to the AS, as AS <4, AS 5-7 and AS 8-10. AA and appendicitis perforation rates were compared according to the different parameters.<br />RESULTS: The mean age of patients (55% females, 45% males) was 30.8Â±10.8 years. The AA (appendix perforation) rates of 211 patients who underwent operation were found as: AS â‰¤4: 56.5% (7.7%), AS 5-7: 75.9% (10%), and AS 8-10: 89% (27.8%). The percentage of negative appendectomy was 19.4%. The scoring was more reliable in males with AS 5-7, and the reliability weakened as body mass index (BMI) increased in all groups.<br />CONCLUSION: Patients with AS â‰¤4 must be followed up and should be informed at the time of their discharge about the slight possibility of appendicitis. The effect of AS in determining the diagnosis of appendicitis is not influenced by age or symptom duration.","24639309","2014","1"
"12","[Acute abdomen. There is nothing that does not exist!].","Der Radiologe",\N,"23760621","2013","7"
"13","[The role of the computed tomography in the identification of the syndrome of pelvic congestion].","GinecologÃ­a y obstetricia de MÃ©xico","BACKGROUND: Pelvic congestion syndrome is a condition not yet fully understood, hence provokes controversy. It is cause of up to 40% of visits to the doctor; affecting women of reproductive age who experience non-specific symptoms such as characteristic pelvic pain with more than six months of evolution and difficult to treat dyspareunia in which even narcotics are insufficient for control.<br />OBJECTIVE: To recognize the vascular anatomy of the pelvic cavity and identify the characteristics of pelvic congestion syndrome demonstrable by computed tomography.<br />MATERIAL AND METHODS: A descriptive, observational, cross-sectional and retrospective study at Hospital Angeles del Pedregal, in the Department of Radiology and Imaging with patients who reported imaging studies with key findings to recognize the pelvic congestion syndrome. All women with incidental finding of abnormal dilation of the gonadal vein were included, allowing to suggest pelvic congestion syndrome as a possible diagnosis.<br />RESULTS: There were 17 cases (0.9%) of patients with abdominopelvic pain syndrome who underwent multislice computed tomography to 3 mm, with extension from the lung bases to the pubic symphysis. Predominance of left gonadal vein is conditioned by the anatomical arrangement of the left gonadal vein. During the arterial phase opacification of the gonadal vein was identified in 11 patients (65%), a circumstance that correlates with retrograde venous flow valve incompetence. In computed tomography findings of pelvic congestion syndrome were also identified 12 patients (70%) with abdominopelvic pain syndrome.<br />CONCLUSIONS: Pelvic congestion syndrome is a rare condition that radiologists do not consider because they don't know it and the clinical diagnoses give no clinical data to suggest this condition. But if one takes into account the literature, it refers to it as the origin of up to 40% of the visits to the gynecologist, and there may be more cases that will increase its prevalence.","23971386","2013","7"
"14","[Infrequent etiology of a common symptom].","Acta gastroenterologica Latinoamericana",\N,"23940906","2013","6"
"15","Diagnosing acute appendicitis: is there any role of ultrasonography?","American journal of surgery",\N,"24055143","2014","6"
"16","How do you diagnose appendicitis? An international evaluation of methods.","International journal of surgery (London, England)","INTRODUCTION: Considerable variability exists in the diagnostic approach to acute appendicitis (in children), affecting both quality and costs of care. Interestingly, an international evaluation of what is commonly practiced today has not been performed. We aimed to document current practice patterns in the diagnosis of appendicitis in children and to determine whether a consensus exists in the workup of these patients among Canadian, Dutch, and Saudi Arabian pediatric surgeons.<br />METHODS: We performed a cross-sectional survey using a pre-designed, self-administered, 14-item survey. We sent the survey to participants via electronic mail.<br />RESULTS: In total, 83 responses were received and analyzed, yielding a response rate of 42%. The majority of respondents practiced at pediatric surgery centers with over 50 beds (58% of Canadian surgeons, 81% of Dutch surgeons, 93% of Saudi Arabian surgeons). The majority of Dutch surgeons had a preference for physical examination and radiological imaging as opposed to Canadian and Saudi Arabian surgeons who favored history and physical examination. Interestingly, only one of the surgeons surveyed used an appendicitis scoring system. Regarding history and physical examination, most respondents deemed migratory abdominal pain and localized RLQ tenderness to be most suggestive of appendicitis. Ultrasound was the most preferable imaging modality in acute appendicitis across all three countries.<br />CONCLUSION: This study demonstrates that international pediatric surgeons vary substantially in the diagnostic workup of patients with appendicitis. Furthermore, there is a variability between common practice and the current evidence. We recommend that pediatric surgeons develop clinical practice guidelines that are based on consensus information (expert opinion) and the best available literature.","24211647","2014",\N
"17","Accuracy of ultrasonography in the diagnosis of acute appendicitis in adult patients: review of the literature.","Critical ultrasound journal","BACKGROUND: Ultrasound is a widely used technique in the diagnosis of acute appendicitis; nevertheless, its utilization still remains controversial.<br />METHODS: The accuracy of the Ultrasound technique in the diagnosis of acute appendicitis in the adult patient, as shown in the literature, was searched for.<br />RESULTS: The gold standard for the diagnosis of appendicitis still remains pathologic confirmation after appendectomy. In the published literature, graded-compression Ultrasound has shown an extremely variable diagnostic accuracy in the diagnosis of acute appendicitis (sensitivity range from 44% to 100%; specificity range from 47% to 99% ). This is due to many reasons, including lack of operator skill, increased bowel gas content, obesity, anatomic variants, and limitations to explore patients with previuos laparotomies.<br />CONCLUSIONS: Graded-compression Ultrasound still remains our first-line method in patients referred with clinically suspected acute appendicitis: nevertheless, due to variable diagnostic accuracy, individual skill is requested not only to perform a successful exam, but also in order to triage those equivocal cases that, subsequently, will have to undergo assessment by means of Computed Tomography.","23902717","2013","7"
"18","Clinical presentation of acute appendicitis in adults at the Chris Hani Baragwanath academic hospital.","International journal of emergency medicine","BACKGROUND: Acute appendicitis is the most common surgical abdominal emergency. Delayed treatment increases the incidence of complications. The aim of this study was to investigate the presentation, incidence, and predictors of complications, and histological findings in adult patients with clinical diagnosis of acute appendicitis.<br />METHODS: The study was a prospective observational study and included patients aged 12Â years and older diagnosed with acute appendicitis. Data collected included demographic data, clinical presentation, duration of symptoms and reasons for presentation delay, diagnostic investigations, operative and histology findings, length of hospital stay, and mortality.<br />RESULTS: A total of 146 patients were admitted with a mean age of 26Â years (SDâ€‰=â€‰12Â years). The male to female ratio was 1.6:1. Predominant presenting symptoms were right iliac fossa pain (95%), nausea (80%), and vomiting (73%), with 63% of patients presenting 2Â days after onset of symptoms. Fever was present in 15% and only 31% of patients gave a typical history of acute appendicitis of vague peri-umbilical pain. The negative predictive values of white cell count and C-reactive protein for acute appendicitis were 28% and 50%, respectively. Sensitivity of the ultrasound to detect acute appendicitis was 60% with a negative predictive value of 31%; 30% of patients had complicated appendicitis. Histology results showed a normal appendix in 11% of patients. The 30-day mortality rate was 1.4%.<br />CONCLUSIONS: Patients with acute appendicitis rarely present with a typical history of vague peri-umbilical pain. The negative predictive values of both white cell count and ultrasound proved that neither of these measurements was accurate in the diagnosis of acute appendicitis. Most of our patients with complicated disease present late, with the most common reasons for this delay being lack of access to a medical clinics and prior treatment by general practitioners. Complications were higher in males and in those aged 45Â years and above.","24533851","2014",\N
"19","Bilirubin; a diagnostic marker for appendicitis.","International journal of surgery (London, England)","INTRODUCTION: Every investigation that can contribute towards a diagnosis of appendicitis is valuable to the emergency general surgeon. Previous research has suggested that hyperbilirubinaemia is a more specific marker for both simple and perforated appendicitis than WBC (white blood count) and CRP (C-reactive protein), but this investigation is not commonly used to help diagnose appendicitis.<br />AIMS: This study investigated whether there is an association between hyperbilirubinaemia and appendicitis. We also reviewed the diagnostic value of bilirubin in perforated vs simple appendicitis, and compared it with the serum C-reactive protein (CRP) and white blood cell count (WBC).<br />METHODS: This single centre, prospective observational study included all patients admitted with right iliac fossa (RIF) pain who had liver function tests performed. Statistical analysis was performed using Fisher's exact test to compare bilirubin, WBC and CRP levels for normal appendices, simple appendicitis, and perforated appendicitis.<br />RESULTS: 242 patients were included in this study, of whom 143 were managed operatively for RIF pain. Hyperbilirubinaemia was significantly associated with appendicitis vs RIF pain of other aetiologies (p < 0.0001). Bilirubin had a higher specificity (0.96), than WBC (0.71) and CRP (0.62), but a lower sensitivity (0.27 vs 0.68 and 0.82 respectively). Hyperbilirubinaemia was associated with perforated appendicitis vs simple appendicitis with statistical significance (p < 0.0001). Bilirubin had a higher specificity (0.82) than both WBC (0.34) and CRP (0.21), but a lower sensitivity (0.70 vs 0.80 and 0.95 respectively).<br />CONCLUSION: Our findings confirm that hyperbilirubinaemia has a high specificity for distinguishing acute appendicitis, especially when perforated, from other causes of RIF pain, particularly those not requiring surgery.","24080115","2013",\N
"20","Predictive value of C-reactive protein with Alvarado score in acute appendicitis.","ANZ journal of surgery","BACKGROUND: The aim of the study was to evaluate whether C-reactive protein (CRP) level on admission could aid the diagnostic accuracy of Alvarado score in acute appendicitis.<br />METHODS: We retrospectively evaluated hospital records and database of 234 patients (men 116, women 118, median age 28 years, range 15-87 years) who underwent appendicectomy for acute appendicitis. Patients were categorized into three groups retrospectively based on the Alvarado score. Group I: score 7-10 (n = 155), group II: score 4-6 (n = 71), group III: score less than 3 (n = 10). Negative (NPV) and positive predictive values (PPV) of CRP was calculated.<br />RESULTS: Overall, 169 of 234 (72.2%) had histopathological confirmation of acute appendicitis. The predicted accuracy of Alvarado score was 84.5% in group I, 50.7% in group II and 25% in group III. The PPV of high CRP and NPV of normal CRP for group I was 88% and 36.4%, in group II, 63% and 72%, in group III, 33% and 86%, respectively.<br />CONCLUSION: The Alvarado score and CRP taken together improve the predictive value of diagnosing acute appendicitis. Having a normal CRP in the equivocal group of Alvarado 4-6, should be further evaluated by advanced imaging before proceeding to appendicectomy.","24119072","2014","5"
"21","Accuracy and interobserver agreement between MR-non-expert radiologists and MR-experts in reading MRI for suspected appendicitis.","European journal of radiology","OBJECTIVE: To compare accuracy and interobserver agreement between radiologists with limited experience in the evaluation of abdominal MRI (non-experts), and radiologists with longer MR reading experience (experts), in reading MRI in patients with suspected appendicitis.<br />METHODS: MR imaging was performed in 223 adult patients with suspected appendicitis and read independently by two members of a team of eight MR-inexperienced radiologists, who were trained with 100 MR examinations previous to this study (non-expert reading). Expert reading was performed by two radiologists with a larger abdominal MR experience (>500 examinations) in consensus. A final diagnosis was assigned after three months based on all available information, except MRI findings. We estimated MRI sensitivity and specificity for appendicitis and for all urgent diagnoses separately. Interobserver agreement was evaluated using kappa statistics.<br />RESULTS: Urgent diagnoses were assigned to 147 of 223 patients; 117 had appendicitis. Sensitivity for appendicitis was 0.89 by MR-non-expert radiologists and 0.97 in MR-expert reading (p=0.01). Specificity was 0.83 for MR-non-experts versus 0.93 for MR-expert reading (p=0.002). MR-experts and MR-non-experts agreed on appendicitis in 89% of cases (kappa 0.78). Accuracy in detecting urgent diagnoses was significantly lower in MR-non-experts compared to MR-expert reading: sensitivity 0.84 versus 0.95 (p<0.001) and specificity 0.71 versus 0.82 (p=0.03), respectively. Agreement on urgent diagnoses was 83% (kappa 0.63).<br />CONCLUSION: MR-non-experts have sufficient sensitivity in reading MRI in patients with suspected appendicitis, with good agreement with MR-expert reading, but accuracy of MR-expert reading was higher.","24168926","2014","1"
"22","The role of laparoscopy in suspicious abdomen pain in children.","Pakistan journal of medical sciences","OBJECTIVE: Abdominal pain is a frequently encountered problem in children. Suspicious right lower quadrant pains are sometimes a problem for pediatric surgeons. In this study, we wanted to evaluate the effectiveness of laparoscopy in diagnosis and treatment of children with suspicion of abdominal pain.<br />METHODS: The files of 84 patients treated with a diagnosis of suspicious right lower quadrant peritonitis between 2005 and 2011 were investigated. Laparoscopic exploration was performed for all cases with right lower quadrant pain where the appendix was not seen on USG/CT and the cause of acute abdomen could not be determined.<br />RESULTS: In this process, 84 patients consisting of 60 (71%) females and 24 (29%) males were included in the study. The mean age was 10.5 years (7-16 years). Appendicitis was determined during diagnostic laparoscopy in 35 (41.6%) patients. The appendix was normal in the remaining 49 (58.3%) patients. In 36 of these patients, gynecological diseases were encountered on pathology as the most frequent cause of the acute abdomen. The appendix was preserved in patients where the cause of the abdominal pain was explained.<br />CONCLUSION: Laparoscopy can be used in the diagnosis and treatment of patients with suspected acute abdomen that imitates acute appendicitis and cannot be differentiated with physical examination and laboratory methods. Delays in diagnosis and unnecessary appendectomy will be prevented in this way.","24353684","2013","7"
"23","Alternative guide to utilization of computed tomography in appendicitis.","ANZ journal of surgery",\N,"24593758","2014","3"
"24","Efficacy of POSSUM score in predicting the outcome in patients undergoing emergency laparotomy.","Polski przeglad chirurgiczny","UNLABELLED: Monitoring of surgical outcome is increasingly important part of governance of surgical activity.<br />THE AIM OF THE STUDY: POSSUM scoring system was applied prospectively to determine how it performed in predicting morbidity and mortality in patients undergoing emergency laparotomy in our hospital, a group known to be at high risk of complications and death.<br />MATERIAL AND METHODS: A total of 100 cases of emergency laparotomies were studied in patients admitted in general surgery department during the period of May 2008 to August 2010. The study group consisted of the following cases. Duodenal perforation (37 cases), intestinal obstruction (27 cases), gastric perforation (8 cases), ileal perforation (8 cases), appendicular perforation (7 cases), blunt trauma (4 cases) and others (9 cases). They were scored using POSSUM scoring system. Physiological scoring was done at the time of admission and operative scoring was done intraoperatively. They were followed up for the first 30 day post operative period for any complications and the outcome was noted. The observed morbidity and mortality rates were compared with the POSSUM predicted morbidity and mortality rates.<br />RESULTS: 15 patients died (mortality rate of 15%). The POSSUM predicted mortality was 20 deaths. O:E ratio of 0.71 was obtained. There was no statistically significant difference between the observed and predicted mortality rates (Ï‡Â²=1.72, p=0.974). 71 patients experienced complications. The POSSUM predicted morbidity was 61 patients. O:E ratio of 1.19 was obtained. There was no statistically significant difference between the observed and predicted morbidity rates (Ï‡Â²=1.594, p=0.991).<br />CONCLUSIONS: POSSUM scoring is an accurate predictor of mortality and morbidity following emergency laparotomy and is a valid means of assessing adequacy of care provided to the patient. POSSUM can be used for surgical audit to assess and improve the quality of surgical care and helps in better outcome to the patient.","24988229","2014","4"
"25","Evaluation of the Alvarado score in acute abdominal pain.","Ulusal travma ve acil cerrahi dergisi = Turkish journal of trauma & emergency surgery : TJTES","BACKGROUND: The Alvarado score is utilized to determine the likelihood of appendicitis based on clinical signs, symptoms, and laboratory results. The goal of this study was to determine whether Alvarado scores can be used to aid in the accurate diagnosis of appendicitis.<br />METHODS: Alvarado score evaluations were performed on 300 patients that were referred to or presented to the emergency room with acute abdominal pain.<br />RESULTS: Out of the 300 patients, 85.66% had Alvarado scores of 7 or less and 14.33% had Alvarado scores greater than 7. For patients that had confirmed appendicitis, 25.7% had Alvarado scores of 7 or less, whereas 93% had Alvarado scores greater than 7. The Alvarado scoring system had poor sensitivity at 37%, and the specificity of this scoring system was high at 95%.<br />CONCLUSION: Our findings suggest that patients presenting with abdominal pain and Alvarado scores greater than 7 are more likely to have appendicitis. As such, the Alvarado scoring system may be utilized to better predict whether a patient has appendicitis. An Alvarado score that is positive for appendicitis would consist of a score greater than 7, which suggests that the patient has a 93% chance of having appendicitis. A negative Alvarado score is 7 or lower, suggesting a 26% probability of having appendicitis. In all, the Alvarado scoring system is a good rule-in test, but it does not adequately rule-out appendicitis.","24740332","2014","3"
